name,email,phone,links,role,skills,education,experience_years,summary
Zane Clark,ymyeliyi@email.com,"+1 0729651222
",https://linkedin.com/in/jskknimopu; https://github.com/dvamahuhzn,Data Journalist,tableau; power bi; r; scikit-learn; excel; machine learning; statistics; git; docker; plotly; model deployment; data governance; fastapi,Bachelor of Science in Data Management,14,"A dedicated and results-driven Data Journalist with over 14 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Penelope Young,frgfpacq@email.com,"+1 8121057943
",https://linkedin.com/in/wvohfjcbgm; https://github.com/bksbwskfyv,Fraud Analyst,tableau; power bi; r; numpy; scikit-learn; excel; c++; machine learning; statistics; git; docker; kubernetes; seaborn; aws; model deployment; data ethics; fastapi,Master of Science in Quantitative Finance,14,"A dedicated and results-driven Fraud Analyst with over 14 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Zach Lee,tuobnixp@email.com,"+1 8690904865
",https://linkedin.com/in/trxzrapnqj; https://github.com/vsmhewkmsk,Data Analyst,sql; tableau; power bi; r; machine learning; statistics; data mining; big data; hadoop; spark; git; docker; etl pipelines; model deployment; bayesian inference,Bachelor of Science in Economics and Data Science,10,"A dedicated and results-driven Healthcare Data Analyst with over 10 years of experience in
data analysis, machine learning, and predictive modeling. Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-world
problems through data-driven approaches and delivering measurable outcomes."
Liam Carter,wvtixbwk@email.com,"+1 4517200462
",https://linkedin.com/in/ytsvtwokny; https://github.com/povfcguakt,Bi Developer,sql; tableau; power bi; r; pandas; machine learning; statistics; spark; git; docker; matplotlib; model deployment,Master of Engineering in Data Engineering,4,"A dedicated and results-driven BI Developer with over 4 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Henry Hill,iwvoyjov@email.com,"+1 4516660758
",https://linkedin.com/in/tabgyhvjll; https://github.com/aswuxtskqj,Data Scientist,tableau; power bi; r; excel; java; machine learning; statistics; data mining; git; docker; data cleaning; seaborn; plotly; model deployment; data lakes; transformers,Bachelor of Engineering in AI and ML,6,"A dedicated and results-driven Sports Data Scientist with over 6 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Olivia Lee,kspzajlm@email.com,"+1 5409907739
",https://linkedin.com/in/ssurdjnlvh; https://github.com/bgaqpuoogn,Data Scientist,sql; tableau; power bi; r; machine learning; deep learning; statistics; big data; git; docker; feature engineering; model deployment; a/b testing,Master of Science in Big Data Engineering,7,"A dedicated and results-driven Data Scientist with over 7 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Riley Roberts,fbopmovg@email.com,"+1 2950991570
",https://linkedin.com/in/fwfxzxfxzj; https://github.com/btoxckxjmq,Data Analyst,tableau; power bi; r; numpy; java; c++; machine learning; statistics; spark; git; docker; data wrangling; data cleaning; computer vision; etl pipelines; aws; model deployment; a/b testing,Bachelor of Science in Bioinformatics,10,"A dedicated and results-driven Geospatial Data Analyst with over 10 years of experience in data
analysis, machine learning, and predictive modeling.
Skilled in transforming business needs into
technical solutions using modern data science tools and practices. Passionate about solving real-
world problems through data-driven approaches and delivering measurable outcomes."
Katie Stewart,xsqngqai@email.com,"+1 0739519519
",https://linkedin.com/in/iqjptbjbwv; https://github.com/ri,Nlp Engineer,tableau; power bi; r; machine learning; statistics; git; docker; azure; model deployment; eda; fastapi; dask,Master of Science in Statistics,9,"A dedicated and results-driven NLP Engineer with over 9 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Leo Rogers,jvb@email.com,"+1 9449551059
",https://linkedin.com/in/vtuhyexrpg; https://github.com/lqtixdvrhv,Ml Ops Engineer,tableau; power bi; r; java; machine learning; deep learning; statistics; git; docker; kubernetes; etl pipelines; feature engineering; model deployment; hugging face; dask,Bachelor of Arts in Computational Social Science,10,"A dedicated and results-driven ML Ops Engineer with over 10 years of experience in data analysis,
machine learning, and predictive modeling.
Skilled in transforming business needs into technical
solutions using modern data science tools and practices. Passionate about solving real-world problems
through data-driven approaches and delivering measurable outcomes."
Ivy Gray,pesuqkwe@email.com,"+1 3554800521
",https://linkedin.com/in/gzpyqbkzfp; https://github.com/jojyigsrgo,Open Source Contributor (Data),python; tableau; power bi; r; numpy; machine learning; statistics; big data; hadoop; git; docker; data cleaning; plotly; model deployment; data lakes; bayesian inference,Bachelor of Science in Data Management,3,"A dedicated and results-driven Open Source Contributor (Data) with over 3 years of experience
in data analysis, machine learning, and predictive modeling. Skilled in transforming business needs
into technical solutions using modern data science tools and practices. Passionate about solving
real-world problems through data-driven approaches and delivering measurable outcomes."
